model_name,loss_name,best_val_acc,test_acc,test_loss,precision,recall,f1,roc_auc,ap
ablation_gem,ce,0.9877488514548239,0.9751461988304093,0.12698654769456874,0.9799426934097422,0.9715909090909091,0.9757489300998573,0.99254689211391,0.9908827500310513
ablation_cbam,ce,0.9877488514548239,0.9736842105263158,0.10532664023993309,0.9826589595375722,0.9659090909090909,0.9742120343839542,0.9941213718510405,0.9955278098832395
ours,focal,0.9923430321592649,0.9605263157894737,0.038686596616566156,0.9501385041551247,0.9744318181818182,0.9621318373071529,0.9948358776013143,0.9959680262034919
ablation_focal,focal,0.9816232771822359,0.9590643274853801,0.040427251997382015,0.9550561797752809,0.9659090909090909,0.96045197740113,0.9930218031215772,0.9939941281596671
convnext_tiny,ce,0.9892802450229708,0.9590643274853801,0.11689477575104139,0.9576271186440678,0.9630681818181818,0.9603399433427762,0.9938817771084337,0.9946689461713688
efficientnet_b0,ce,0.9678407350689127,0.9532163742690059,0.22198257660656645,0.9419889502762431,0.96875,0.9551820728291317,0.9901766155531215,0.9879800835644046
resnet18,ce,0.9800918836140888,0.9502923976608187,0.16660602120628135,0.9320652173913043,0.9744318181818182,0.9527777777777777,0.9864329476998904,0.9872820985938747
